ஆண் குழந்தை பெயர்கள்,பெண் குழந்தை பெயர்கள்
தேன்தமிழ்நம்பி,தேவநங்கை
தேவன்மகன்,தேவநாயகி
தேவகரண்,தேவநேயம்
தேவசஹாயம்,தேவபாமகள்
தேவஜோதி,தேரொளி
தேவதத்தன்,தேன்காந்தள்
தேவதாஸ்,தேவமகள்
தேவநாதன்,தேன்முகில்
தேவநாராயன்,தேவமதி
தேவன்,தேவமுதா
தேவபிரகாஷ்,தேவி
தேவராஜ்,தேவிச்சுடர்
தேவரிஷி,தேவிஸ்ரீ
தேவா,தேவான்ஷி
தேவானந்த்,தேவயானி
தேவிபிரசாத்,தாமரை
தேவேந்திரன்,தாமரைக்கனி
தேவேஷ்வர்,தாமரைக்கொடி
தேசிங்கு,தாமரைச்செல்வி
தேவகுமார்,தாரகை
தேவநாயகம்,தாரிகா
தேவிபாலன்,தாருனிகா
தேவிகா,தாரெழில்
தேவிப்பிரியா,தாரினி
தேவகி,தாரணி
தேவகன்யா,தாழங்கனி
தாமரைக்கண்ணன்,தாழையணி
தாமு,தான்யா
தாமரைக்கனி,தாருஸ்ரீ
தாமரைச்செல்வன்,தார்மீகா
தாமரைச்செல்வம்,தாரா
தாமரைத்தம்பி,கோகிலவாணி
தாமரைமணாளன்,கோதைமொழி
தாமோதரன்,கோமகள்
தாயகக்குமரன்,கோமதி
தாயுமானவன்,கோவரசி
தாய்த்தமிழன்,கோவழகி
தாய்நாடன்,கோகிலா
தாளமுத்து,கோசலை
தாய்த்தமிழன்,கோதாவரி
கோபாலன்,கோதை
கோவேந்தன்,கோதைநாயகி
கோபாலகிருஷ்னன்,கோபிகா
கோகுல்,கோப்பெருந்தேவி
கோகுலகிருஷ்ணன்,கோமலி
கோவலன்,கோலமயில்
கோதண்டபாணி,கோண்மணி
கோவழகன்,கோதையரசி
கோவிந்தன்,கோத்தென்றல்
கோவைநேயன்,கோதையினியாள்
கோபாலமூர்த்தி,கோமளா
கோவைமணி,கோமேதகா
கோவேஷ்,கோவர்த்தினி
கோச்சடையன்,கோபிகிருஷ்ணன்
கோச்செங்கட்சோழன்,கோரட்சகன்
கோச்செங்கணன்,கோவர்தனன்
கோட்புலி,கோடீசுவரன்
கோட்புலிநாயனார்,கோபால்சாமி
கோப்பெருநற்கிள்ளி,கோமான்
கோப்பெருஞ்சடையன்,கூடலணி
கோப்பெருஞ்சோழன்,கூடலரசி
கோபி,கூடலமுது
கோபிநாத்,கூடலழகி
கோமதீஸ்வரன்,கூடற்குமரி
கோதண்டம்,கூந்தன்மகள்
கோரகாநாத்,கூர்மதி
கோதண்டராமன்,கூத்தமுதன்
கோபிலிங்கம்,ஜீவிதா
கோவிந்தராசன்,ஜீவநந்தினி
கூடலரசன்,ஜீவிகா
கூத்தனார்,ஜீவேஷி
கூத்தன்,ஜீவஜோதி
கூத்தபிரான்,ஜீவராணி
கூத்தரசன்,ஜீவோதயம்
கூத்தரசு,ஜோதிலட்சுமி
கூத்தையன்,ஜோஸ்னா
கூத்துவேந்தன்,ஜோதிர்மயி
கூடற்பாண்டியன்,ஜோதிகா
ஜீவா,ஜோஷிகா
ஜீவன்,ஜோவிதா
ஜீவானந்த்,ஜோஷிதா
ஜீவரத்தினம்,ஜோதிசுதா
ஜீவபிரகாஷ்,ஜோதிமதி
ஜீவேஷ்,ஜோதிமாலா
ஜீவராஜ்,பேச்சியம்மாள்
ஜீவமணி,பேரழகி
ஜோதீஸ்வரன்,பேரிசைச்செல்வி
ஜோதீ பிரகாஷ்,பேரிறைவி
ஜோதிகிருஷ்ணன்,பேரெழினி
ஜோதிராஜன்,பேரினியள்
ஜோகிந்தர்,ஜனனி
ஜோனேஷ்,ஜகதாம்பாள்
ஜோதிராம்,ஜமுனாராணி
ஜோதி,ஜனக்நந்தினி
ஜோதிபிரபா,ஜனிஷா
ஜோதிராணி,ஜமுனா
ஜோதிபிரிய,ஜமீலா
பேரரசு,ஜய்யிதா
பேரழகன்,ஜனககுமாரி
பேரரசன்,ஜனகரானி
பேரறிவாளன்,ஜியா
பேச்சிமுத்து,ஜின்னா
பேரருளன்,ஜிகிஷா
பேரறிஞன்,ஜிவிதேஷ்
ஜகன்,யோகமலர்
ஜகதீசன்,யோகராணி
ஜகத்ராமன்,யோகலட்சுமி
ஜகஜீவன்,யோகவல்லி
ஜனாநாத்,யோஸ்னிதா
ஜகவீர பாண்டியன்,யோஹிதா
ஜகன்ஜித்,யோகநாயகி
ஜகன்நாராயணன்,யோகேஸ்வரி
ஜகதீஷ்வரன்,யோகஸ்ரீ
ஜகஜித்,யோஷிதா
ஜகன் மோகன்,யோகினி
ஜிதேந்திரன்,யோகசுந்தரி
ஜினேந்திரா,யோகரூபிணி
ஜிஷ்ணு,யோகவதி
ஜிவின்,பாரிஜாதம்
ஜிக்னேஷ்,பாரிமகள்
யோகலிங்கம்,பார்வதி
யோகாநந்தன்,பாவரசி
யோகேஷ்,பாவை
யோகதேவன்,பாவைமலர்
யோகேந்திரன்,பாண்டிமகள்
யோகநாதன்,பாக்கோதை
யோகிநாத்,பாசறைக்குமரி
யோகேந்திரா,பாடலருவி
யோகராஜ்,பாடல்வடிவு
யோகநாயகன்,பாடலழகி
யோகி,பாடலினியாள்
யோகி பாபு,பானிலா
யோகமூர்த்தி,பாற்பரிதி
யோகேஷ்குமார்,பாவொளி
பாண்டியன்,பாவினியாள்
பாண்டித்துரை,பாவழகி
பாண்டியநேயன்,பாலைக்கொடி
பானுசேனன்,பாலெழிலி
பாரி,பாலினி
பாரிவள்ளல்,பால்வல்லி
பால்நிலவன்,பாரிசாலன்
பாலா,பாலசுந்தரம்
பாவலன்,பாலகுமாரன்
பாவாணன்,பாலசந்திரன்
பாலகுருநாதன்,பாலுமகேந்தரா
பார்த்திபன்,பாவேந்தன்
பார்த்தசாரதி,நேத்ரா
பாண்டுரங்கன்,நேஹா
பாலசுப்ரமணியன்,நேத்ரவதி
பாரதி,நேயச்செல்வி
பாரதிதாசன்,நேயநங்கை
பாபு,நேயவணி
பார்கவன்,நேயமணி
பார்த்தன்,நேயநல்லாள்
பாரதிவாசன்,நேயவினியாள்
பாலகோபாலன்,நேரினியா
பாரிசெல்வம்,யசோதா
பாலகணேஷ்,யமுனா
பாலகங்காதரன்,யஷ்வினி
பாலகுரு,யவணி
பாலமுருகன்,யதுநந்தினி
பாலையா,யஷ்வதி
பானுபிரசாத்,யுகராணி
நேசபிரியன்,யுகவேணி
நேசன்,யுவதி
நேஹன்,யுக்தாமுகி
நேத்ரன்,யுவஸ்ரீ
நேசமணி,யூதிகா
நேயக்கண்ணன்,யூகவள்ளி
நேயக்குமரன்,யூநிக்கா
நேரினியன்,நாகதேவி
நேயவல்லி,நாகமதி
நேரிலாமலர்,நாகம்மாள்
யஷ்வந்த்,நாகவல்லி
யமுனகிரி,நாதவேணி
யக்னேஷ்,நான்சி
யசோதன்,நாயகி
யதுநந்தன்,நாவரசி
யாழரசன்,நாவுக்கரசி
யாழ்ப்பாணன்,நாண்மதி
யுவகுமார்,நாகஜோதி
யுவராஜ்,நாராயணி
யுகேந்திரன்,நான்சிராணி
யுகபாரதி,நாகஸ்ரீ
யுக பிரியன்,நானிலன்
யுகமாறன்,நாவரசன்
யூகேஷ்,நாவலன்
நாகசுந்தரம்,நாவளவன்
நாகசுப்ரமணியன்,நாவேந்தன்
நாகதேவன்,நாகபாலன்
நாகநாதன்,நிதிலா
நாகப்பன்,நித்யா
நாகமுத்து,நிபுணமதி
நாகராஜ்,நியந்தனா
நாகார்ஜுன்,நிரஞ்சனா
நாகேஷ்,நிரவதி
நாகைநம்பி,நிர்மலா
நாடன்,நிருஷனா
நாடிமுத்து,நிறைமதி
நாடுடைச்செல்வன்,நிலவரசி
நாட்டரசன்,நிலவழகி
நாதன்,நிலவேந்தி
நாளிலச்செல்வன்,நிவேதா
நாவரசு,நிஷாந்தினி
நாவலர்நம்பி,நிஷாலினி
நாவுக்கரசன்,நித்யகல்யாணி
நாதபிரியன்,நித்யாதேவி
நிலவன்,நிருபமா
நிரஞ்சன்,நிஷா
நித்யானந்தம்,நிஷி
நிலவரசன்,ருத்ரஸ்ரீ
நிர்மல்,ருக்மணி
நிதிலன்,ருத்திராணி
நியூட்டன்,ருசித்தா
நிக்கில்,ருத்திரா
நிறைமதியன்,ருத்ரபிரியா
நித்தியகுமார்,ருத்ரமாலா
நிகிலன்,ருக்மிணி
நிவேதன்,ருத்ரபைரவி
நிவிதா ஸ்ரீ,ருச்சி
நிஷாந்தி,ரேகா
நிஷார்த்திகா,ரேணுகா
நிஷிதா,ரேணுமதி
நித்யபிரியா,ரேஷ்மி
நித்ரா,ரேணு
நிரோஷா,ரேகசித்ரா
நிஷாலினி,தர்ஷணா
ருத்ரேஷ்,தயாளினி
ருத்ரன்,தனுஸ்ரீ
ருத்ரவீரன்,தன்ஷிகா
ருத்ரமூர்த்தி,தனுஷ்கா
ருத்ரதாண்டவன்,தக்ஷா
ருபேஷ்,தமயந்தி
ருஷீக்,தர்ஷினி
ருக்மினேஷ்,தங்கபுஷ்பம்
ருத்வா,தங்கமலர்
ருத்ரசாமி,தணிகைதேவி
ரேவந்த்,தமிழரசி
ரேனேஷ்,தமிழ்க்கனி
ரேஷ்மன்,தங்கமாரி
ரேவதி,தமிழ்வாணி
ரேஷம்,தமிழ்செல்வி
ரேஷிகா,தனபாக்கியம்
ரேனுகாதேவி,தவமகள்
தண்டபாணி,தனுலதா
தனுஷ்,தமிழ்கொடி
தமிழ்வாணன்,தவமணி
தட்சிணாமூர்த்தி,தனம்
தர்ஷன்,தமிழ்மாறன்
தசரதன்,போகன்
தயாளன்,பூமிகா
தயானந்த்,பூதேவி
தசரதன்,பூங்காவனம்
தசரதராமன்,பூங்குழலி
தயாநிதி,பூந்தளிர்
தக்ஷிண்,பூங்கோதை
தங்கமணி,பூங்குழல்நாயகி
தங்கராசன்,பூங்கொடி
தணிகைவேல்,பூஷிதா
தமிழினியன்,பூஜா
தமிழறிவு,ஷக்திஸ்ரீ
தமிழ்ச்செல்வன்,ஷந்தோஷி
தமிழ்கணி,ஷபரிமாலா
தமிழ்ப்பித்தன்,ஷப்னம்
தங்கமுத்து,ஷர்மிதா
தணிகைமலை,ஷஷி
தமிழ்க்கூத்தன்,ஷர்மிலி
தவமணி,ஷாந்தலா
போதிநாத்,ஷாலினி
பூபாலன்,ஷாமினி
பூமிநாதன்,ஷாந்தி
பூபேந்திரன்,ஷாலு
பூபதி,நதியா
பூங்குன்றன்,நந்திகா
பூஷன்,நந்திதா
பூவரசன்,நந்தினி
பூங்குலியன்,நயன்தாரா
பூம்பொழிலன்,நர்மதா
பூமிநாதன்,நறுமலர்
ஷகுந்த்,நறுமுகை
ஷசி,நற்றிணை
ஷத்ருஞ்ஜய்,நல்லிசை
ஷரண்,நளாயினி
ஷஷாங்க்,நளினி
ஷஸ்வத்,நவிதா
ஷா,நவீனா
ஷங்கர்,நவ்யா
ஷக்திதரன்,நக்ஷத்திரா
ஷபீர்,நளாயினி
ஷபரி,நம்ரதா
ஷக்தி,நங்கைநல்லாள்
நக்கீரன்,நடையரசி
நகுல்,நறுங்கிளி
நச்சினார்க்கினியன்,நறுங்குறிஞ்சி
நடராஜன்,நன்முகில்
நட்புச்செல்வன்,நன்னிலா
நந்தன்,நவநீதன்
நந்தா,நந்தகுமார்
நடேசன்,நரசிம்மவர்மன்
நன்னாடன்,நமசிவாயம்
நரேந்தர்,நம்பியார்
நன்னெறியன்,நலங்கிள்ளி
நன்மணி,நம்பிராசன்
நன்மதி,நல்லக்கண்ணன்
நகுலன்,நல்லதுரை
நன்மாறன்,நல்லமுத்து
நன்மொழியன்,நல்லறிவன்
நம்பி,நல்லையன்
நம்பியருள்,நல்வழிதேவன்
நம்பெருமாள்,நல்வேலன்
நம்மாழ்வார்,நல்வேல்
நரசிம்மன்,நவிலன்
நரேன்,நடவரசன்
நரேஷ்,பாக்கியலக்ஷ்மி
நற்கிள்ளி,பாக்யஸ்ரீ
நற்சிறுவழுதி,பானு
நற்சேந்தன்,பானுஸ்ரீ
நற்புகழ்மணி,பானுலட்சுமி
நற்புகழ்மதி,பானுப்ரியா
நற்றமிழன்,பானுமதி
நற்றமிழ்நம்பி,பாமா
நற்றிணையான்,பாரதி
நலங்கிள்ளி,பார்கவி
நல்லசிவம்,பார்வதி
நல்லத்தம்பி,பாலசரஸ்வதி
நல்லரசன்,பாலா
நல்லெழிலன்,பாலாபாரதி
நல்வழிச்செல்வன்,பாவனா
நல்வழிநம்பி,பாக்யசுந்தரி
நவநீதகுமார்,பால நாகம்மாள்
நவநிதி,பாலசரஸ்வதி
நவீண் குமார்,பிரகதீஷ்வரி
நடேஷ்,பிருந்தா
பாணன்,பிந்து
பாண்டித்துரை,பிபாஷா
பாண்டியநேயன்,பிரகதி
பாண்டியன்,பிரகல்யா
பானுசேனன்,பிரபாவதி
பாரி,பிரசனவதனா
பாரி நேயன்,பிரியலதா
பாரிவள்ளல்,பிரேமகுமாரி
பால்நிலவன்,பிரணவி
பால்மணி,பிரதீப்தா
பாவலன்,பிரவீணா
பாவாணன்,பிரேமா
பார்த்திபன்,மோனிஷா
பார்த்தசாரதி,மோஹிதா
பாண்டுரங்கன்,மோனிகா
பால்பாண்டி,மோஹினி
பாலசுந்தரி,மோஹனப் பிரியா
பாலாம்பிகை,மோஹன சுந்தரி
பாக்யஜோதி,மோதிஸ்ரீ
பிரகதீஸ்வரன்,மோக்க்ஷா
பிரகதீஷ்,மோனல்
பிமல்,மோகனதேவி
பிரேந்திரன்,மோகனவள்ளி
பிம்பிசாரன்,மோகனசெல்வி
பிபின்,மகிழினி
பிரபாதேவி,மகிமா
பிரனிதா,மலர்மதி
பிரியங்கா,மணிமொழி
பிருந்தாதேவி,மணிமேகலை
பிரேமலதா,மங்கையற்கரசி
பிரதிமா,மணிமலர்
பிரமிளா,மலையரசி
பிரிதிகா,மந்த்ரா
மோகன்,மஹாலக்ஷ்மி
மோஹனன்,மயூரி
மோகன் குமார்,மதுமிதா
மோஹித்,மதுபாலா
மோதீஸ்வரன்,மதுஸ்ரீ
மோகனசுந்தரம்,மல்லிகா
மோனிஷ்,மணிமாலா
மோகன்லால்,மனிஷா
மோகனசுந்தரம்,மஞ்சுஷா
மோகன்பாபு,மலர்விழி
மோகனமூர்த்தி,மலர்குழலி
மோனலிசா,மங்கலவல்லி
மோகனசங்கரி,மதிவதனா
மணிகண்டன்,மதுமதி
மகிழன்,மந்தாகினி
மணிவண்ணன்,மனோண்மனி
மணிவாசகம்,மதிவதனி
மணியன்,மனோஹரி
மணிமுகிலன்,மயிலினி
மருதமுத்து,மயூரிகா
மஹிபாலன்,மரகதவல்லி
மருதநாயகம்,மதுவந்தி
மறைமதி,மடல்விழி
மறையன்பன்,மதுசந்திரிகா
மதிமகன்,மதனேஸ்வரி
மதியரசன்,மதனிகா
மணிமாறன்,மதுலேகா
மயில்சாமி,மதுரபாரதி
மந்திரவேல்,மடோனா
மணிமுத்து,மகதி
மதியழகன்,மஞ்சு
மதிசெல்வன்,மகாதேவி
மதுபாலன்,மஹாஷினி
மகிழ்முத்து,மஹிழரசி
மணியொலியன்,மலர்குழலி
மதிநந்தன்,மஹாஸ்ரீ
மஹேந்திரன்,மலர்விழி
மயூரன்,மம்தா
மகேஷ்,மனாலி
மகேஸ்வரன்,மண்டோதரி
மயில்சாமி,மஞ்சுளா
மதிவேந்தன்,மஞ்சுஸ்ரீ
மதனகுமார்,மனோசித்ரா
மதுசூதனன்,மந்தரா
மனோகரா,மனோரஞ்சனா
மனோரஞ்சன்,மதி
மகேந்திரன்,மதியழகி
மயூரன்,மதிவேந்தன்
மருதன்,மலைமகன்
மருதபாண்டியன்,மன்னர் மன்னன்
மருதமுத்து,மலையரசு
மதிஅரசன்,மிதுலா
மருது,மிதுனதேவி
மறவன்,மித்ரா
மறைநாயகன்,மின்னல்கொடி
மறைமணி,மிருத்திகா
மணிரத்தினம்,மிருதினி
மறைமலை,முல்லைக்கொடி
மணிமுத்து,முருகேஸ்வரி
மறைமலையான்,முனீஸ்வரி
மலரழகன்,முகுந்தினி
மதிமுகன்,முத்துலட்சுமி
மலரவன்,முத்துவீரலட்சுமி
மதனகோபாலன்,முத்தரசி
மலர் மகன்,முத்துமாரி
மகேந்தரவர்மன்,முகிலா
மலர் மன்னன்,முத்துநங்கை
மணிமாறன்,முத்துசெல்வி
மலர்கண்ணன்,முல்லை
மணிசங்கர்,முத்துகுமாரி
மயில்வாகனன்,முத்தமிழ்செல்வி
மலையமான்,முத்துவல்லி
மலையரசன்,முல்லைநாயகி
மலைவேந்தன்,முத்துமணி
மிதுன்,முத்துவேணி
மிருதன்,முத்தமிழ் பாவை
மிதுனன்,முத்தமிழ்க்கொடி
மிருதுலா,முத்தாம்பிகை
மிருனாழி,முத்துவள்ளி
மின்பொன்னி,முகுந்தன்
மின்விழி,முத்துசாமி
முத்தரசன்,முத்தையா
முரளி,மெய்மொழி
முத்தழகன்,மெர்சி
முத்துவீரப்பன்,மெஹருனிஷா
முத்தெழிலன்,மெர்லின்
முத்துக்கருப்பன்,மெய்மொழி
முத்துவேல்,மெய்யரசி
முரளிதரன்,கேசவர்த்தினி
முத்தப்பன்,கேசவகுமாரி
முத்துராமன்,கேசினி
முகிலன்,கேஷியா
முகில்ராசன்,கேசவள்ளி
முடியரசன்,கேயா
முருகன்,ஹம்சவானி
முருகேசன்,ஹம்சவர்த்தினி
முருகானந்தம்,ஹன்சா
முருகவேல்,ஹன்ஷிகா
முரளிபிரசாத்,ஹனிஷா
முனியப்பன்,ஹசினிகா
முனீஸ்வரன்,ஹம்சா
முருகைய்யன்,ஹரிதா
முகிலேஷ்,ஹரினி
முகேஷ்,ஹன்யா
முக்கண்ணன்,ஹர்ஷா
முத்துப்பாண்டியன்,ஹர்ஷிகா
முல்லை வேந்தன்,ஹர்ஷிதா
மெய்யன்பன்,ஹரினிவேதா
மெய்யறிவாளன்,ஹர்ஷினி
மெய்யறிவன்,ஹம்சவாஹினி
மெய்ஞானம்,ஹன்சா
மெய்யழகன்,ஹரிவேதிகா
கேசவன்,ஹரிபிரியா
கேதார்,ஹர்ஷிகா
கேஷவ்,ஹம்ச கீதா
கேசவமூர்த்தி,ஹம்சவாகினி
கேசவினோதினி,ஹரிதிகா
கேசிகா,ஹரிவர்ஷா
ஹர்ஷத்,ஹர்ஷதயாயினி
ஹரீந்திரா,ஹர்ஷணா
ஹரிக்கண்ணன்,ஹயந்திகா
ஹரிபாபு,ஹசுமதி
ஹரிபிரசாத்,ஹேமந்தினி
ஹரிவர்ஷன்,ஹேமலதா
ஹரிகுமார்,ஹேமா
ஹரிராஜ்,ஹேமாமாலினி
ஹரிச்சந்திரன்,ஹேமாவதி
ஹரிபிரீத்,ஹேமஸ்ரீ
ஹனுமந்த்,ஹேமகுமாரி
ஹரிஷங்கர்,ஹேமச்சந்திரா
ஹரிராம்,ஹேமாங்கினி
ஹர்ஷவர்தன்,ஹேமகந்தா
ஹரிகிருஷ்னன்,ஹேமரேகா
ஹரிநாதன்,தினேஷ்வரி
ஹரிஷ்,திருமகள்செல்வி
ஹம்சவர்தன்,திலகா
ஹம்சராஜ்,திவ்யா
ஹரிசரண்,திவ்ய குமாரி
ஹர்திக்,தில்லைகரசி
ஹரிஹரன்,திஷிதா
ஹரிதாஸ்,திருப்புகழ்மதி
ஹனுமந்த்,தியா
ஹரிஹரசுதன்,திருவரசி
ஹரிநாராயணன்,திருவேணி
ஹரிபிரகாஷ்,திஷ்யா
ஹரிசரன்,திவ்யான்ஷி
ஹரிவர்மன்,திவ்யாதேவி
ஹேம்நாத்,திரிலோச்சனா
ஹேமாங்கதன்,திரிபுவனேஸ்வரி
ஹேமசந்திரன்,திரிஷா
ஹேமேஷ்,திருமலா
ஹேமராஜன்,தினேஷ்வரி
ஹேமந்த்,திவ்யமனோகரி
ஹேமபிரசாத்,
ஹேம்குமார்,
ஹேமலேகா,
ஹேமவர்ணி,
ஹேமந்தினி,
தினேஷ்,
தினகர்,
தினகரன்,
திவாகரன்,
திரவியம்,
திலீப்,
திலீபன்,
தியாகமணி,
திரேந்திரன்,
திவ்யகுமார்,
தியாகு,
திருச்செல்வன்,
திருநாவுக்கரசன்,
திருப்பதி,
திருமாறன்,
திருமூர்த்தி,
தினகரன்,
திருமங்கை,
திலோத்தமா,
திலகவதி,
திவ்யாதேவி,
