ஆண் குழந்தை பெயர்கள்,பெண் குழந்தை பெயர்கள்
எழிலொளி,ஒளிர்மதி
எழிற்செல்வன்,ஒலிதமிழ்
எழில்மணி,ஒலியருவி
எழிலகன்,ஒளிமதி
எழில்முகிலன்,ஒளிமகள்
எழில்விழியன்,எழிற்குமரன்
எழில்வேந்தன்,ஞானமுருகேஸ்வரி
எழிலன்பன்,ஞானாஞ்சலி
எழிற்கோமகன்,ஞானமுத்துசெல்வி
ஞானச்செல்வன்,ஞானம்மாள்
ஞானதுரை,ஞானம்
ஞானகுமாரன்,ஞானேஸ்வரி
ஞானேஷ்,ஞானஸ்ரீ
ஞானசூரியன்,ஞானகுமாரி
ஞானசேகரன்,ஞானச்செல்வி
ஞானபாண்டி,ஞானமங்கை
ஞானமணி,ஞானவடிவு
ஞானேந்திரன்,ஞானசுந்தரி
ஞானதேவன்,ஞானவாஹினி
ஞானபிரகாஷ்,ஞானாம்பிகை
ஞானமுத்து,ஞானமுருகன்
ஞானச்சந்திரன்,ஞானவேல்
ஞானகுமார்,ஞானேஷ்வரன்
ஞானகுமரன்,ஞானகுரு
ஞானி,கடற்கோமகள்
ஞானமுதன்,கங்கா
ஞானராஜன்,கஸ்தூரி
கதிரரசன்,கணையாழி
கங்காதரன்,கதம்பவாணி
கவுதமன்,கண்மதி
கஜேந்திரன்,கண்மலர்
கதிர்காமன்,கதிரழகி
கந்தவேலன்,கனகதேவி
கலியபெருமாள்,கதிர்க்குமரி
கணேசபாபு,கதிர்ச்செல்வி
கலைவாணன்,கதிர்மாமணி
கலையரசன்,கத்ரினா
கவியரசன்,கனகவள்ளி
களஞ்சியம்,கனல்மொழி
கடம்பன்,கனிகா
கணபதி,கனல்
கடற்கோ,கனிமதி
கடலரசன்,கனியமுது
கடல்வேந்தன்,கனகதுர்கா
கணேசன்,கன்னற்பிறை
கணியன் பூங்குன்றன்,கன்னல்
கணைக்கால் இரும்பொறை,கன்னல்தமிழ்
கண்ணதாசன்,கனகரூபிணி
கங்கநாதன்,கன்னிகா பரமேஷ்வரி
கண்ணன்,கன்னியம்மை
கண்ணப்பன்,கபிலா
கண்ணாயிரம்,கமலராணி
கருத்தையன்,கமலா
கண்ணுக்கினியன்,கமலிகா
கண்ணையன்,கமலினி
கணபதிராம்,கமலி
கண்மதியன்,கயற்கண்ணி
கந்தர்வன்,கரீஷ்மா
கணிகண்ணன்,கருங்குழலி
கதிரழகன்,கருணாகவேணி
கதிரவன்,கருத்தம்மாள்
கதிரொளி,கருலி
கதிரேசன்,கர்ப்பகம்
கண்ணியப்பன்,கறுங்குழலி
கபாலீசுவரன்,கற்பகவள்ளி
கங்கைஅமரன்,கலா
கணியன்,கலாவதி
கதிரோன்,கலிமா
கதிர்,கலை
கதிர்க்குன்றன்,கலைக்கோ
கதிர்க்கை,கலைக்கயல்
கதிர்சிவன்,கலைக்கதிரொளி
கதிர்மணி,கலைக்கதிர்
கதிர்வாணன்,கலைக்குமரி
கதிர்வேல்,கலைக்குறிஞ்சி
கமலநாதன்,கலைக்குவை
கந்தசாமி,கலைக்கொடி
கந்தன்,கலைக்கொண்டல்
கந்தவேல்,கலைக்கோமகள்
கனி,கலைப்பாவை
கபிலன்,கலைச்சோலை
கபில்,கலைஒளி
கபீர்,கலைத்தளிர்
கமலகண்ணன்,கலைத்தும்பி
கமல்,கலைத்துளிர்
கம்பநாடன்,கலைத்தென்றல்
கம்பன்,கலைதேவி
கமலேஷ்,கலைநங்கை
கரிகாலன்,கலைநாயகி
கரிகால் சோழன்,கலைநிலவு
கரிகால் வளவன்,கலைவள்ளி
கலாநிதி,கலைவாழி
கலிய பெருமாள்,கலைவிழி
கலை,கலைவேங்கை
கர்ணம்,கல்விச்செல்வி
கலை இளவல்,கல்விப்புதல்வி
கலைக்கடல்,கல்விமணி
கலைக்கண்ணன்,கல்விமாமணி
கலைக்கதிரொளி,கவிகா
கலைக்கதிர்,கவியரசி
கலாநிதி மாறன்,கன்னிகா
கலைக்காவலன்,கல்பனா
கலைக்குன்றன்,கல்யாணி
கலைக்குமரன்,கனகா
கருணாகரண்,கனிஸ்ரீ
கருணாநிதி,கண்ணம்மா
கருணால்,கண்ணகி
கருண்,கற்பகம்
கல்யாணசுந்தரம்,கவிதா
கரண்,கவிஸ்ரீ
கருப்பசாமி,கலையரசி
கலைமுகிலன்,கமலி
கலைநேயன்,கலைநிலா
கருப்பண்ணன்,கலைமதி
கருப்பையா,கலைவாணி
கர்ணா,கனிகாஸ்ரீ
கலைச் செல்வன்,கவிப்ரியா
கலைச் செழியன்,கலைச்சுடர்
கலைச்சித்திரன்,கலைச்செல்வி
கலைச்சிற்பி,கனகராணி
கலைச்சுடர்,கனகப்ரியா
கலைச்செல்வன்,கவிரத்னா
கலைஞன்,கவிதாஞ்சலி
கலைநாடன்,கனிமொழி
கலைநாயகன்,கண்மணி
கலைநாயகம்,கயல்
கலைநிலவன்,கயல்விழி
கலைநுட்பன்,கடலரசி
கலைநெஞ்சன்,கமலம்
கல்யான்,கமலவேணி
கல்விச்செல்வன்,கருங்குழலி
கல்வியரசன்,கலைரசிகா
கலைப்பித்தன்,கவிபிரியா
கல்வியரசு,கவிந்திரா
கவன்,கனகசுந்தரம்
கவி,சந்திரவதி
கவிதன்,சக்தி
கவின்,சங்கமித்ரா
சஞ்சய்,சங்கரி
சஞ்சீவ்,சங்கவி
சம்பத்,சங்கவை
சந்திரகாந்தன்,சங்கமித்ரை
சண்முகவேல்,சங்குப்பூவழகி
சடையவர்மன்,சங்குமதி
சந்தானகிருஷ்ணன்,சங்கெழில்
சர்வானந்தன்,சசிகலா
சதாசிவன்,சசிரேகா
சத்ருகன்,சஞ்சு
சங்கரன்,சதிகா
சரவணன்,சகுன்யா
சதீஷ்,சத்தியவாணி
சரத்குமார்,சந்தானலட்சுமி
சந்திரபாபு,சந்தியா
சகாதேவன்,சந்திரமதி
சக்கரவர்த்தி,சந்திரா
சந்தனு,சன்விகா
சந்திர பிரகாஷ்,சபரிமாலா
சந்திரகாந்த்,சமீரா
சந்திரசூடன்,சமீஹா
சந்திரசேகர்,சம்சுருதி
சந்திரன்,சம்யூக்தா
சாணக்கியன்,சரளா
சத்தி,சரிகா
சகுந்தன்,சலீமா
சக்ரபாணி,சல்மா
சந்தானபாரதி,சஹானா
சக்திவேல்,சண்முகவடிவு
சங்கன்,சண்முகப்பிரியா
சபரி,சங்கினியாள்
சத்யசீலன்,சந்திரபிரபா
சந்தரகுமார்,சந்திரகாந்தா
சங்கீர்த்தன்,சரிதா
சசி,சரண்யா
சசிகாந்த்,சவிதா
சசிகுமார்,சர்மிலி
சத்ரபதி,சற்குணேஸ்வரி
சந்தரமௌலி,சங்கீதா
சத்யன்,சண்முகப்ரியா
சந்துரு,சர்மிளா
சண்முகபாண்டியன்,சச்சிதாநந்தம்
சத்யநாராயண்,சஞ்சீவன்
சபரிநாதன்,சர்குணம்
சசிதரன்,சதிஷ்வரன்
சஜீத்,சத்தியலிங்கம்
சந்தரசேகரன்,சரத்சந்தரன்
சடகோபன்,சரத்பாபு
சதீஷ் குமார்,சத்யவாணன்
சத்யநாராயணன்,சத்யா
சத்யமூர்த்தி,சத்யேந்திரா
சத்யராஜ்,சந்தீப்
சத்யவிரதன்,சந்தோஷ்சிவன்
சம்பத்குமார்,சம்மந்தம்
சத்ருகணன்,சரவணகுமார்
சந்தோஷ்,சந்தானம்
சபரீஷ்,சித்திரக்கோமகள்
சரத்,சித்திரக்கொடி
சரவணமூர்த்தி,சித்திரக்கோமதி
சிங்காரவேலன்,சித்திரச்சுடர்
சினேகன்,சித்திரச்செந்தாழை
சித்தன்,சித்திரச்செல்வி
சித்தார்த்,சித்திரப்பாவை
சித்திர எழிலன்,சித்திரப்பூ
சித்திரக்கோவன்,சித்ரலேகா
சித்திரச்சிற்பி,சித்ரா
சித்திரச்சுடர்,சிநேஹா
சித்திரச்செம்மல்,சிந்தனைச்செல்வி
சித்திரச்செல்வன்,சிந்தனைமதி
சித்திரன்,சிந்தாமணி
சித்திரவளவன்,சிந்தனைமுகில்
சித்திரவாணன்,சிருஷ்டிதா
சிந்தனைச்சித்தன்,சிலம்பரசி
சிந்தனைச்சிற்பி,சிலம்பழகி
சிந்தனைச்சுடர்,சிலம்புச்செல்வி
சிந்தனைச்செல்வம்,சிவகாமி
சின்னக்கண்ணன்,சிவசண்முகப்பிரியா
சின்னதுரை,சிவதேவி
சின்னத்தம்பி,சிவந்தி
சிகாமணி,சிவப்பிரியா
சின்னப்பன்,சிவமணி
சின்னையன்,சிவரஞ்சினி
சிரஞ்சீவி,சிவாத்மிகா
சிறுநற்கிள்ளி,சிவதீர்த்தா
சிற்பி,சித்தேஸ்வரி
சிற்றம்பலம்,சித்தாரா
சிற்றம்பலவாணன்,சிந்துஜா
சிலம்பரசன்,சிவானி
சிலம்பு,சித்ராதேவி
சித்தரஞ்சன்,சிவன்யா
சிலம்புச்செல்வன்,சிவசங்கர்
சிலுவைமுத்து,சிவநேயன்
சிவகுமார்,சிவனேசன்
சிவக்குமரன்,சிவம்
சிவதனு,சிவபிரகாசம்
சிவனடியான்,சிவானந்தன்
சிவன்,சிவபாலன்
சிவா,சிவராமன்
சிவரஞ்சன்,வள்ளி
சிவநாதன்,வளர்மதி
சிவனேசன்,வஞ்சிக்கொடி
சிவாஜி,வசுந்தரா
வள்ளுவன்,வர்ஷினி
வால்மீகி,வன்யா
வளவன்,வடிவுக்கரசி
வந்தியத்தேவன்,வனஜா
வம்சி,வதனா
வருண்,வருணா
வர்மன்,வந்தனா
வடிவேல்,வண்ணமதி
வழுதி,வசந்தா
வணராஜன்,வத்சலா
வரதன்,வனிதா
வர்ஷன்,வர்நிஷா
வர்ஷித்,வர்ஷனா
வருணன்,வண்கயல்
வசியன்,வர்ஷிகா
வசந்தன்,வசந்தி
வசந்த்,வள்ளிப்பிரிய
வரதராஜ்,வண்ணமயில்
வளையாபதி,வரலக்ஷ்மி
வடிவுக்குமரன்,வண்ணமுகில்
வல்லவன்,வன்மதி
வழுதிமாறன்,வனரோஜா
வசந்தபாலன்,வர்நிஷா
வல்வில்ஓரி,வசுமதி
வளர்மொழி,வதனா
வசுந்தலா,வஞ்சுலா
வனிதாஸ்ரீ,வினோதினி
வராஹினி,விமலா
வஞ்சிதா,விஜி
வம்சிகா,விஜயலக்ஷ்மி
விஷ்ணு,வித்யா
விஷ்வா,விதுலா
விஸ்வநாத்,விஜயா
வினோத்,வினிதா
விக்னேஷ்,விசாலி
விக்ரம்,விருஷாலி
விஜய்,வினயா
விஜயன்,வினோதா
விசு,விசித்ரா
விமல்,வித்யாதேவி
விராட்,வினுஸ்ரீ
விவேக்,விஷாலினி
விக்கி,விதுபாலா
விக்டர்,விஷ்ணுபிரியா
வினீத்,விருதுளா
விட்டல்,விக்னேஸ்வரி
விஸ்வேஷ்,விமலாதேவி
விஜய்ஸ்ரீ,விசாலாட்சி
விநாயக்,வித்யாதரி
விசாகன்,வித்யபாரதி
விஸ்வந்த்,வித்யாவதி
விழியன்,விமலாராணி
வித்தார்த்,விக்டோரியா
விஜயேந்திரன்,விசாகா
விக்ராந்த்,விசால்யா
விமலேஷ்,விந்தியா
வினோத்ராஜ்,விஷ்வபிரியா
வினுக்குமார்,விஜயசாந்தி
விக்ரமசேனா,விரேந்திரி
விஸ்வேஸ்வரன்,விஜயாபானு
விஷ்ணுதரன்,வினோபா
